"cell","ridge","length","dist_endpoints","curvature_bylength","curvature_formula"
"Curved_test",1,0.493328515406263,0.493211377099112,1.00023750122684,0.191880743147073
"Curved_test",2,0.331894222800445,0.324341660136344,1.02328582353844,5.28849464772764
"Curved_test",3,0.391472216342192,0.390517297952343,1.00244526527981,0.706065795330778
"Curved_test",4,3.29411333488872,2.67444884228508,1.23169801673013,95.2596065581059
"Curved_test",5,2.4021742127799,1.88868350048387,1.27187758677644,18.6355572051302
"Curved_test",6,1.69010296181399,1.64414961682324,1.02794961268765,9.06654800561138
"Curved_test",8,8.59842867962484,7.70548476168112,1.11588419749842,276.154468222127
"Curved_test",9,0.391494577021755,0.390535865830528,1.00245486080821,0.90504633507959
"Curved_test",10,0.292860885005543,0.292300256585585,1.00191798812121,0.988837681218347
"Curved_test",13,0.324319307165658,0.324319306394175,1.00000000237878,0.000850851712860624
"Curved_test",16,0.261499547360451,0.256432276634592,1.0197606588077,2.388690740725
"Curved_test",17,0.699849084801241,0.594684439429853,1.17684109150765,16.3910520447336
"Curved_test",19,2.72140602259883,2.72046622842483,1.00034545335067,0.0391783857296506
"Curved_test",20,2.21362074315081,1.70460782879817,1.29860998274983,17.5940912753435
"Curved_test",22,0.527952197351782,0.50765,1.0399925093111,96.5802443673809
"Curved_test",23,2.33700178939212,1.3931011915866,1.67755350688525,22.1741730640241
"Curved_test",25,0.205060966544098,0.205060966544098,1,2.3876233595847e-13
"Curved_test",26,0.490800183826645,0.486478951240442,1.00888267123415,1.38626958969214
"Curved_test",28,0.693292828847714,0.684143831734233,1.0133729147134,4.1911282418814
"Curved_test",29,0.205060966544098,0.205060966544098,1,2.3876233595847e-13
"Curved_test",31,1.93381064079155,1.75399998931015,1.10251462518658,46.8801318252615
"Curved_test",32,0.618931711433587,0.539100157670168,1.14808297238945,10.2128821183906
"Curved_test",33,0.724093054699985,0.696519360822083,1.03958783549873,5.86665655365851
"Curved_test",37,4.68349316545804,3.77329413444009,1.24122133037821,28.2233342545517
"Curved_test",39,2.74409266360346,2.69523978942505,1.01812561330167,5.49435905016355
"Curved_test",41,7.67011519134507,7.10732029705992,1.07918524433435,12.5672464793541
"Curved_test",43,10.6372536604403,10.1568937462445,1.04729397847383,48.7169499334876
"Curved_test",44,0.4930831426571,0.441148243224429,1.11772663776936,8.95663104880764
"Curved_test",45,1.51069119301078,1.42708333060827,1.05858653143042,8.3089613549754
"Curved_test",46,0.590685378686473,0.58462531804567,1.01036571707339,5.06928444869113
"Curved_test",47,3.48888389764473,0.413458308055357,8.43829675125942,152.924107749996
"Curved_test",48,0.716509330562272,0.715141748187029,1.00191232350609,1.72787011860667
"Curved_test",49,3.63703645588841,3.58294012544168,1.01509830713123,19.2463398265578
"Curved_test",51,1.81248467310103,1.78555222900367,1.01508353755207,7.35548652094563
"Curved_test",53,0.205096327976805,0.205096324930507,1.00000001485301,0.00336259116614091
"Curved_test",55,0.540504471339796,0.493192997213058,1.09592892517551,3.0754242077064
"Curved_test",57,4.51329048607542,2.45634778075092,1.83739880868811,1714.510044744
"Curved_test",58,0.494794367430271,0.424406438452576,1.16585028548185,14.3423967488293
"Curved_test",60,3.25575580022875,2.91637978708192,1.11636893612077,32.3310962471364
"Curved_test",61,2.17568172631775,1.6797086235416,1.29527329670453,15.3084335864083
"Curved_test",62,1.98891130531052,1.44404532910155,1.37731916389908,173.583030696053
"Curved_test",63,1.20816072756005,1.13801275915519,1.06164075739971,2.71892984719694
"Curved_test",65,0.36725597924678,0.362570000137905,1.01292434318088,3.53605144879938
"Curved_test",67,7.5158601392406,2.03183495700315,3.6990505126096,118.246675943851
"Curved_test",68,3.80059220864132,1.70265396146721,2.23215773413306,69.3505882037105
"Curved_test",69,0.426066988409944,0.398799999999998,1.06837258879124,5.32630414905536
"Curved_test",70,2.36832549059134,1.92004922072326,1.23347123866919,88.1630177449759
"Curved_test",71,4.49660305330039,3.20406005249589,1.40340785741442,29.3001999799325
"Curved_test",73,1.4140158010622,1.33719188226671,1.05745167901054,9.32734206283636
"Curved_test",74,5.44588111903726,3.88189934986728,1.40289086042982,128.973272292749
"Curved_test",77,2.02206965131427,1.49326945408389,1.35412242297207,36.1950028293937
"Curved_test",78,3.65055258311436,1.38977627695972,2.62671959770412,21.4251707529928
"Curved_test",79,0.261471805730952,0.261471805363406,1.00000000140568,0.000811415225306523
"Curved_test",80,1.18220382469292,1.11935272479232,1.05614950364485,6.5014758845685
"Curved_test",84,2.2969756092453,0.798575451976832,2.8763413695716,60.01080084877
"Curved_test",85,1.12732867918065,1.07381814335575,1.04983202803565,12.0826928839856
"Curved_test",86,1.29720791233067,1.29117683723028,1.00467099077871,5.05317998960901
"Curved_test",88,1.54739884145921,1.3591948876081,1.13846723201138,50.17110638647
"Curved_test",89,5.78556968835827,3.76492484951559,1.53670256900418,26.2446331139475
"Curved_test",91,0.233259458637115,0.232144491642597,1.00480290092877,2.08090853559008
"Curved_test",92,0.537402506740753,0.458672565671853,1.17164737322708,32.6725554263286
"Curved_test",94,3.8002794833159,1.31386645059534,2.89243970084928,129.051247919473
"Curved_test",95,7.28769699396298,1.11702670626087,6.52419226247311,212.738922310221
"Curved_test",98,0.205167038654924,0.205167035607576,1.00000001485301,0.00336143225138183
"Curved_test",99,5.64830734482601,3.29965000037883,1.71178983958224,246.502036063325
"Curved_test",100,1.01771024608885,1.00290746956037,1.01475986267702,6.65914969947081
"Curved_test",101,2.51183933897227,0.725200000000001,3.46365049499762,140.460214917378
