Cell,Ridge, X, Y
Curved_test,1 , 27.0499 , 9.5726
Curved_test,1 , 27.34 , 9.5726
Curved_test,1 , 27.34 , 9.6451
Curved_test,1 , 27.485 , 9.6451
Curved_test,1 , 27.485 , 9.7177
Curved_test,1 , 27.34 , 9.7177
Curved_test,1 , 27.34 , 9.6451
Curved_test,1 , 27.0499 , 9.6451
Curved_test,1 , 27.0499 , 9.5726
Curved_test,1 , 26.8323 , 9.5726
Curved_test,1 , 26.8323 , 9.5001
Curved_test,1 , 27.0499 , 9.5001
Curved_test,2 , 27.8476 , 10.4429
Curved_test,2 , 27.9201 , 10.4429
Curved_test,2 , 27.9201 , 10.5154
Curved_test,2 , 27.9927 , 10.5154
Curved_test,2 , 27.9927 , 10.5879
Curved_test,2 , 27.9201 , 10.5879
Curved_test,2 , 27.9201 , 10.5154
Curved_test,2 , 27.8476 , 10.5154
Curved_test,2 , 27.8476 , 10.4429
Curved_test,2 , 27.485 , 10.4429
Curved_test,2 , 27.485 , 10.3703
Curved_test,2 , 27.8476 , 10.3703
Curved_test,3 , 25.8896 , 10.5879
Curved_test,3 , 25.9621 , 10.5879
Curved_test,3 , 25.9621 , 10.8055
Curved_test,3 , 26.0346 , 10.8055
Curved_test,3 , 26.0346 , 11.023
Curved_test,3 , 25.9621 , 11.023
Curved_test,3 , 25.9621 , 10.8055
Curved_test,3 , 25.8896 , 10.8055
Curved_test,3 , 25.8896 , 10.5879
Curved_test,3 , 25.8171 , 10.5879
Curved_test,3 , 25.8171 , 10.5154
Curved_test,3 , 25.8896 , 10.5154
Curved_test,4 , 26.7598 , 10.6604
Curved_test,4 , 26.8323 , 10.6604
Curved_test,4 , 26.8323 , 10.8055
Curved_test,4 , 26.9049 , 10.8055
Curved_test,4 , 26.9049 , 10.9505
Curved_test,4 , 26.9774 , 10.9505
Curved_test,4 , 26.9774 , 11.1681
Curved_test,4 , 26.9049 , 11.1681
Curved_test,4 , 26.9049 , 11.5307
Curved_test,4 , 26.8323 , 11.5307
Curved_test,4 , 26.8323 , 11.8207
Curved_test,4 , 26.9049 , 11.8207
Curved_test,4 , 26.9049 , 11.8933
Curved_test,4 , 26.9774 , 11.8933
Curved_test,4 , 26.9774 , 11.9658
Curved_test,4 , 27.485 , 11.9658
Curved_test,4 , 27.485 , 12.0383
Curved_test,4 , 27.9201 , 12.0383
Curved_test,4 , 27.9201 , 12.1108
Curved_test,4 , 27.9927 , 12.1108
Curved_test,4 , 27.9927 , 12.1833
Curved_test,4 , 28.1377 , 12.1833
Curved_test,4 , 28.1377 , 12.2559
Curved_test,4 , 28.7179 , 12.2559
Curved_test,4 , 28.7179 , 12.3284
Curved_test,4 , 28.7904 , 12.3284
Curved_test,4 , 28.7904 , 12.4009
Curved_test,4 , 28.7179 , 12.4009
Curved_test,4 , 28.7179 , 12.3284
Curved_test,4 , 28.1377 , 12.3284
Curved_test,4 , 28.1377 , 12.2559
Curved_test,4 , 27.9927 , 12.2559
Curved_test,4 , 27.9927 , 12.1833
Curved_test,4 , 27.9201 , 12.1833
Curved_test,4 , 27.9201 , 12.1108
Curved_test,4 , 27.485 , 12.1108
Curved_test,4 , 27.485 , 12.0383
Curved_test,4 , 26.9774 , 12.0383
Curved_test,4 , 26.9774 , 11.9658
Curved_test,4 , 26.9049 , 11.9658
Curved_test,4 , 26.9049 , 11.8933
Curved_test,4 , 26.8323 , 11.8933
Curved_test,4 , 26.8323 , 11.8207
Curved_test,4 , 26.7598 , 11.8207
Curved_test,4 , 26.7598 , 11.5307
Curved_test,4 , 26.8323 , 11.5307
Curved_test,4 , 26.8323 , 11.1681
Curved_test,4 , 26.9049 , 11.1681
Curved_test,4 , 26.9049 , 10.9505
Curved_test,4 , 26.8323 , 10.9505
Curved_test,4 , 26.8323 , 10.8055
Curved_test,4 , 26.7598 , 10.8055
Curved_test,4 , 26.7598 , 10.6604
Curved_test,4 , 26.6873 , 10.6604
Curved_test,4 , 26.6873 , 10.5879
Curved_test,4 , 26.7598 , 10.5879
Curved_test,5 , 29.6606 , 10.9505
Curved_test,5 , 29.8057 , 10.9505
Curved_test,5 , 29.8057 , 11.023
Curved_test,5 , 29.9507 , 11.023
Curved_test,5 , 29.9507 , 11.0955
Curved_test,5 , 30.0232 , 11.0955
Curved_test,5 , 30.0232 , 11.2406
Curved_test,5 , 30.0957 , 11.2406
Curved_test,5 , 30.0957 , 11.3856
Curved_test,5 , 30.1683 , 11.3856
Curved_test,5 , 30.1683 , 11.4581
Curved_test,5 , 30.2408 , 11.4581
Curved_test,5 , 30.2408 , 11.5307
Curved_test,5 , 30.1683 , 11.5307
Curved_test,5 , 30.1683 , 11.4581
Curved_test,5 , 30.0957 , 11.4581
Curved_test,5 , 30.0957 , 11.3856
Curved_test,5 , 30.0232 , 11.3856
Curved_test,5 , 30.0232 , 11.2406
Curved_test,5 , 29.9507 , 11.2406
Curved_test,5 , 29.9507 , 11.0955
Curved_test,5 , 29.8057 , 11.0955
Curved_test,5 , 29.8057 , 11.023
Curved_test,5 , 29.6606 , 11.023
Curved_test,5 , 29.6606 , 10.9505
Curved_test,5 , 29.2255 , 10.9505
Curved_test,5 , 29.2255 , 11.023
Curved_test,5 , 28.9354 , 11.023
Curved_test,5 , 28.9354 , 11.0955
Curved_test,5 , 28.7904 , 11.0955
Curved_test,5 , 28.7904 , 11.1681
Curved_test,5 , 28.7179 , 11.1681
Curved_test,5 , 28.7179 , 11.2406
Curved_test,5 , 28.6453 , 11.2406
Curved_test,5 , 28.6453 , 11.3131
Curved_test,5 , 28.5003 , 11.3131
Curved_test,5 , 28.5003 , 11.3856
Curved_test,5 , 28.4278 , 11.3856
Curved_test,5 , 28.4278 , 11.4581
Curved_test,5 , 28.3553 , 11.4581
Curved_test,5 , 28.3553 , 11.7482
Curved_test,5 , 28.2827 , 11.7482
Curved_test,5 , 28.2827 , 11.4581
Curved_test,5 , 28.3553 , 11.4581
Curved_test,5 , 28.3553 , 11.3856
Curved_test,5 , 28.4278 , 11.3856
Curved_test,5 , 28.4278 , 11.3131
Curved_test,5 , 28.5003 , 11.3131
Curved_test,5 , 28.5003 , 11.2406
Curved_test,5 , 28.6453 , 11.2406
Curved_test,5 , 28.6453 , 11.1681
Curved_test,5 , 28.7179 , 11.1681
Curved_test,5 , 28.7179 , 11.0955
Curved_test,5 , 28.7904 , 11.0955
Curved_test,5 , 28.7904 , 11.023
Curved_test,5 , 28.9354 , 11.023
Curved_test,5 , 28.9354 , 10.9505
Curved_test,5 , 29.2255 , 10.9505
Curved_test,5 , 29.2255 , 10.878
Curved_test,5 , 29.6606 , 10.878
Curved_test,6 , 24.2216 , 11.023
Curved_test,6 , 24.1491 , 11.023
Curved_test,6 , 24.1491 , 11.1681
Curved_test,6 , 24.0766 , 11.1681
Curved_test,6 , 24.0766 , 11.2406
Curved_test,6 , 23.9316 , 11.2406
Curved_test,6 , 23.9316 , 11.3131
Curved_test,6 , 23.7865 , 11.3131
Curved_test,6 , 23.7865 , 11.3856
Curved_test,6 , 23.714 , 11.3856
Curved_test,6 , 23.714 , 11.4581
Curved_test,6 , 23.6415 , 11.4581
Curved_test,6 , 23.6415 , 11.5307
Curved_test,6 , 23.569 , 11.5307
Curved_test,6 , 23.569 , 11.6032
Curved_test,6 , 23.4964 , 11.6032
Curved_test,6 , 23.4964 , 11.6757
Curved_test,6 , 23.4239 , 11.6757
Curved_test,6 , 23.4239 , 11.7482
Curved_test,6 , 23.3514 , 11.7482
Curved_test,6 , 23.3514 , 11.8207
Curved_test,6 , 23.2789 , 11.8207
Curved_test,6 , 23.2789 , 11.8933
Curved_test,6 , 23.2064 , 11.8933
Curved_test,6 , 23.2064 , 12.0383
Curved_test,6 , 23.1338 , 12.0383
Curved_test,6 , 23.1338 , 12.4009
Curved_test,6 , 23.0613 , 12.4009
Curved_test,6 , 23.0613 , 12.0383
Curved_test,6 , 23.1338 , 12.0383
Curved_test,6 , 23.1338 , 11.8933
Curved_test,6 , 23.2064 , 11.8933
Curved_test,6 , 23.2064 , 11.8207
Curved_test,6 , 23.2789 , 11.8207
Curved_test,6 , 23.2789 , 11.7482
Curved_test,6 , 23.3514 , 11.7482
Curved_test,6 , 23.3514 , 11.6757
Curved_test,6 , 23.4239 , 11.6757
Curved_test,6 , 23.4239 , 11.6032
Curved_test,6 , 23.4964 , 11.6032
Curved_test,6 , 23.4964 , 11.5307
Curved_test,6 , 23.569 , 11.5307
Curved_test,6 , 23.569 , 11.4581
Curved_test,6 , 23.6415 , 11.4581
Curved_test,6 , 23.6415 , 11.3856
Curved_test,6 , 23.714 , 11.3856
Curved_test,6 , 23.714 , 11.3131
Curved_test,6 , 23.7865 , 11.3131
Curved_test,6 , 23.7865 , 11.2406
Curved_test,6 , 23.9316 , 11.2406
Curved_test,6 , 23.9316 , 11.1681
Curved_test,6 , 24.0766 , 11.1681
Curved_test,6 , 24.0766 , 11.023
Curved_test,6 , 24.1491 , 11.023
Curved_test,6 , 24.1491 , 10.9505
Curved_test,6 , 24.2216 , 10.9505
Curved_test,7 , 25.2369 , 11.6757
Curved_test,7 , 25.3094 , 11.6757
Curved_test,7 , 25.3094 , 11.7482
Curved_test,7 , 25.2369 , 11.7482
Curved_test,7 , 25.2369 , 11.6757
Curved_test,7 , 25.0919 , 11.6757
Curved_test,7 , 25.0919 , 11.6032
Curved_test,7 , 25.2369 , 11.6032
Curved_test,8 , 32.0538 , 12.2559
Curved_test,8 , 32.1263 , 12.2559
Curved_test,8 , 32.1263 , 12.691
Curved_test,8 , 32.0538 , 12.691
Curved_test,8 , 32.0538 , 13.0536
Curved_test,8 , 32.1263 , 13.0536
Curved_test,8 , 32.1263 , 13.2711
Curved_test,8 , 32.1988 , 13.2711
Curved_test,8 , 32.1988 , 13.4162
Curved_test,8 , 32.2713 , 13.4162
Curved_test,8 , 32.2713 , 13.7788
Curved_test,8 , 32.3439 , 13.7788
Curved_test,8 , 32.3439 , 13.8513
Curved_test,8 , 32.4164 , 13.8513
Curved_test,8 , 32.4164 , 13.9963
Curved_test,8 , 32.4889 , 13.9963
Curved_test,8 , 32.4889 , 14.2864
Curved_test,8 , 32.5614 , 14.2864
Curved_test,8 , 32.5614 , 14.4315
Curved_test,8 , 32.6339 , 14.4315
Curved_test,8 , 32.6339 , 14.504
Curved_test,8 , 32.7065 , 14.504
Curved_test,8 , 32.7065 , 14.5765
Curved_test,8 , 32.779 , 14.5765
Curved_test,8 , 32.779 , 14.7941
Curved_test,8 , 32.8515 , 14.7941
Curved_test,8 , 32.8515 , 14.9391
Curved_test,8 , 32.924 , 14.9391
Curved_test,8 , 32.924 , 15.2292
Curved_test,8 , 32.9965 , 15.2292
Curved_test,8 , 32.9965 , 15.3017
Curved_test,8 , 33.0691 , 15.3017
Curved_test,8 , 33.0691 , 15.3742
Curved_test,8 , 33.1416 , 15.3742
Curved_test,8 , 33.1416 , 15.8093
Curved_test,8 , 33.2141 , 15.8093
Curved_test,8 , 33.2141 , 15.8819
Curved_test,8 , 33.2866 , 15.8819
Curved_test,8 , 33.2866 , 16.0994
Curved_test,8 , 33.3591 , 16.0994
Curved_test,8 , 33.3591 , 16.462
Curved_test,8 , 33.4317 , 16.462
Curved_test,8 , 33.4317 , 16.6796
Curved_test,8 , 33.5042 , 16.6796
Curved_test,8 , 33.5042 , 17.0422
Curved_test,8 , 33.5767 , 17.0422
Curved_test,8 , 33.5767 , 17.1147
Curved_test,8 , 33.6492 , 17.1147
Curved_test,8 , 33.6492 , 17.2597
Curved_test,8 , 33.7217 , 17.2597
Curved_test,8 , 33.7217 , 17.5498
Curved_test,8 , 33.7943 , 17.5498
Curved_test,8 , 33.7943 , 18.2025
Curved_test,8 , 33.8668 , 18.2025
